CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.07.01;Amortização de ativos intangíveis;-1420318.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.07.01;Amortização de ativos intangíveis;-1346457.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.07.02;Provisões trabalhistas, fiscais e cíveis;-7515682.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.07.02;Provisões trabalhistas, fiscais e cíveis;-7252224.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.07.03;Depreciação;-2574102.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.07.03;Depreciação;-2627659.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.07.04;Outras;-8443263.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.07.04;Outras;-9503422.0000000000;N
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.08;Resultado da Equivalência Patrimonial;3086744.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.04.08;Resultado da Equivalência Patrimonial;5111151.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.05;Resultado antes dos Tributos sobre o Lucro;23989791.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.05;Resultado antes dos Tributos sobre o Lucro;38301717.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-4266920.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.06;Imposto de Renda e Contribuição Social sobre o Lucro;-8452382.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.06.01;Corrente;-3544398.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.06.01;Corrente;-6788039.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.06.02;Diferido;-722522.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.06.02;Diferido;-1664343.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.07;Lucro ou Prejuízo das Operações Continuadas;19722871.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.07;Lucro ou Prejuízo das Operações Continuadas;29849335.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-12-31;3.08;Resultado Líquido das Operações Descontinuadas;0.0000000000;S
00.000.000/0001-91;2022-12-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.09;Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias;19722871.0000000000;S
